iter	Passed	Remaining
1091	40425	3776
1092	40461	3738
1093	40496	3701
1094	40531	3664
1095	40566	3627
1096	40601	3590
1097	40635	3552
1098	40671	3515
1099	40708	3478
1100	40744	3441
1101	40777	3404
1102	40815	3367
1103	40847	3329
1104	40882	3292
1105	40917	3255
1106	40953	3218
1107	40989	3181
1108	41026	3144
1109	41057	3107
1110	41094	3070
1111	41124	3032
1112	41161	2995
1113	41196	2958
1114	41229	2921
1115	41262	2883
1116	41295	2846
1117	41331	2809
1118	41371	2772
1119	41407	2735
1120	41441	2698
1121	41476	2661
1122	41509	2624
1123	41546	2587
1124	41578	2550
1125	41612	2513
1126	41648	2476
1127	41680	2438
1128	41716	2401
1129	41755	2364
1130	41795	2328
1131	41832	2291
1132	41869	2254
1133	41906	2217
1134	41939	2180
1135	41975	2143
1136	42007	2105
1137	42042	2068
1138	42081	2032
1139	42116	1995
1140	42151	1957
1141	42185	1920
1142	42222	1883
1143	42266	1847
1144	42306	1810
1145	42342	1773
1146	42375	1736
1147	42410	1699
1148	42441	1662
1149	42478	1625
1150	42513	1588
1151	42549	1551
1152	42584	1514
1153	42620	1477
1154	42652	1440
1155	42687	1403
1156	42720	1366
1157	42751	1329
1158	42789	1292
1159	42821	1255
1160	42860	1218
1161	42896	1181
1162	42931	1144
1163	42969	1107
1164	43002	1070
1165	43037	1033
1166	43072	996
1167	43104	959
1168	43141	922
1169	43177	885
1170	43214	848
1171	43250	811
1172	43282	774
1173	43320	737
1174	43354	701
1175	43390	664
1176	43426	627
1177	43461	590
1178	43497	553
1179	43533	516
1180	43568	479
1181	43601	442
1182	43634	405
1183	43666	368
1184	43702	331
1185	43734	295
1186	43766	258
1187	43803	221
1188	43836	184
1189	43869	147
1190	43905	110
1191	43940	73
1192	43976	36
1193	44010	0
